Rate Plan Name,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),Offer Start Date,Offer End Date,,,,,,,,,,,,,,,,Description
Freedom 5GB,Samsung A50 Black,887276343334,,,,,,,,,,,,,,,,,,450,450,,25-07-2019 00:00:00,25-10-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited 10GB,Samsung A50 Black,887276343334,,,,,,,,,,,,,,,,,,450,450,,25-07-2019 00:00:00,25-10-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 10GB,Samsung Galaxy A70 Black,887276342337,,,,,,,,,,,,,,,,,,600,600,,25-07-2019 00:00:00,06-09-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 12GB,Samsung Galaxy A70 Black,887276342337,,,,,,,,,,,,,,,,,,600,600,,25-07-2019 00:00:00,08-01-2020 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 15GB,Samsung Galaxy A70 Black,887276342337,,,,,,,,,,,,,,,,,,600,600,,25-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,LG G8ThinQ,652810832434,,,,,,,,,,,,,,,,,,839,1079,,25-07-2019 00:00:00,08-01-2020 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB Black,190198776419,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,18-03-2021 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB White,190198776433,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB (PRODUCT)RED,190198776457,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB Yellow,190198776471,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB Coral,190198776495,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,iPhone XR 64GB Blue,190198776518,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,3PR - iPhone XR 64GB Black,629258107219,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,3PR - iPhone XR 64GB White,629258107226,,,,,,,,,,,,,,,,,,679,799,,09-01-2020 00:00:00,26-03-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,Galaxy S10e 128GB Black,887276301280,,,,,,,,,,,,,,,,,,900,1020,,09-01-2020 00:00:00,03-02-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,Galaxy S10e 128GB White,887276313887,,,,,,,,,,,,,,,,,,900,1020,,09-01-2020 00:00:00,03-02-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,Galaxy S10e 128GB Blue,887276323121,,,,,,,,,,,,,,,,,,900,1020,,09-01-2020 00:00:00,03-02-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,3PR - Galaxy S10e 128GB Black,629258107271,,,,,,,,,,,,,,,,,,900,1020,,09-01-2020 00:00:00,03-02-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,3PR - Galaxy S10e 128GB White,629258107288,,,,,,,,,,,,,,,,,,900,1020,,09-01-2020 00:00:00,03-02-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 12GB,Samsung Galaxy S9 Grey,887276250861,,,,,,,,,,,,,,,,,,839,839,,09-01-2020 00:00:00,31-12-2020 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 12GB,Samsung Galaxy S9 Purple,887276250878,,,,,,,,,,,,,,,,,,839,839,,09-01-2020 00:00:00,31-12-2020 00:00:00,,,,,,,,,,,,,,,,TBD
