Tab Rate Plan Group,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),,,,,,,,,,,,,,,,,,Device Description
Group 1_1,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,100,1300,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,679,1999,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,679,1999,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,799,1999,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,1039,1999,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 512GB Space Grey,190198786159,,,,,,,,,,,,,,,,,,1639,1999,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,100,1300,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,679,1999,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,679,1999,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,799,1999,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,1039,1999,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 512GB Gold,190198786197,,,,,,,,,,,,,,,,,,1639,1999,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 512GB Silver,190198786173,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 512GB Silver,190198786173,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 512GB Silver,190198786173,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 512GB Silver,190198786173,,,,,,,,,,,,,,,,,,100,1300,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 512GB Silver,190198786173,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
